                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                0.97469,                 1.4039,                 1.2814,                0.73549,                0.66087,                0.71716,                0.54451,                0.81633,                 1.1193,                 1.2838,              0.0069805,              0.0069805,              0.0069805
                     63,                0.98841,                 1.3977,                 1.2875,                0.72971,                0.67254,                0.72312,                0.55339,                0.81148,                 1.1155,                 1.2784,               0.006931,               0.006931,               0.006931
                     64,                0.99038,                 1.4086,                 1.2906,                 0.7518,                0.65871,                0.71858,                0.55005,                0.80402,                 1.1394,                 1.2757,              0.0068815,              0.0068815,              0.0068815
                     65,                0.98676,                 1.3644,                  1.283,                0.70691,                0.68798,                0.71608,                0.54928,                0.81127,                 1.1075,                 1.2859,               0.006832,               0.006832,               0.006832
                     66,                0.98124,                 1.3755,                 1.2795,                0.72154,                0.66317,                0.72561,                0.55497,                0.80614,                  1.111,                 1.2806,              0.0067825,              0.0067825,              0.0067825
                     67,                0.97142,                 1.3696,                 1.2742,                0.73082,                0.66046,                0.72521,                0.56548,                0.80073,                 1.0938,                 1.2781,               0.006733,               0.006733,               0.006733
                     68,                0.95511,                 1.3559,                 1.2722,                0.71178,                0.68512,                  0.724,                0.56046,                0.78988,                 1.0777,                 1.2563,              0.0066835,              0.0066835,              0.0066835
                     69,                0.98934,                 1.3631,                 1.2815,                0.72993,                0.66931,                0.72903,                0.56599,                0.79734,                 1.0863,                 1.2719,               0.006634,               0.006634,               0.006634
                     70,                0.97224,                 1.3459,                 1.2741,                0.71372,                0.67589,                0.72039,                0.55977,                0.80248,                 1.1031,                 1.2748,              0.0065845,              0.0065845,              0.0065845
                     71,                 0.9706,                 1.3616,                 1.2791,                0.75127,                0.67493,                0.72415,                0.55831,                0.79155,                 1.0848,                 1.2635,               0.006535,               0.006535,               0.006535
                     72,                 0.9593,                 1.3225,                 1.2727,                0.72079,                0.66984,                0.72215,                0.55987,                0.79431,                 1.0779,                 1.2745,              0.0064855,              0.0064855,              0.0064855
                     73,                0.95848,                 1.3122,                 1.2664,                 0.7178,                0.68604,                0.71656,                0.55606,                0.78373,                 1.0787,                 1.2562,               0.006436,               0.006436,               0.006436
                     74,                0.96321,                 1.3272,                 1.2733,                0.72093,                0.67259,                0.72035,                0.56011,                0.78427,                 1.0906,                 1.2585,              0.0063865,              0.0063865,              0.0063865
                     75,                0.95999,                  1.303,                 1.2634,                0.74708,                0.66907,                0.72897,                0.55952,                 0.7869,                  1.076,                 1.2604,               0.006337,               0.006337,               0.006337
                     76,                0.93649,                 1.3066,                 1.2604,                0.74003,                0.68152,                0.73058,                0.56343,                0.78808,                 1.0686,                 1.2539,              0.0062875,              0.0062875,              0.0062875
                     77,                0.97349,                 1.3078,                 1.2741,                0.75666,                0.68048,                0.73796,                0.57051,                0.77954,                  1.051,                 1.2522,               0.006238,               0.006238,               0.006238
                     78,                0.96058,                 1.2823,                 1.2654,                0.75174,                0.68005,                0.74171,                0.57734,                 0.7764,                 1.0634,                 1.2497,              0.0061885,              0.0061885,              0.0061885
                     79,                0.94303,                 1.2866,                 1.2636,                0.75038,                0.68785,                0.74253,                0.57931,                0.77268,                 1.0697,                  1.248,               0.006139,               0.006139,               0.006139
                     80,                0.96646,                 1.2836,                 1.2642,                0.75695,                0.66755,                  0.736,                0.57527,                0.77612,                 1.0737,                 1.2503,              0.0060895,              0.0060895,              0.0060895
                     81,                0.94166,                  1.276,                 1.2609,                0.72081,                0.70081,                0.72367,                0.56312,                0.77771,                 1.0662,                 1.2523,                0.00604,                0.00604,                0.00604
                     82,                0.95807,                 1.2743,                 1.2551,                0.71895,                0.70003,                  0.723,                0.55785,                0.77822,                 1.0671,                 1.2509,              0.0059905,              0.0059905,              0.0059905
                     83,                0.94909,                  1.256,                 1.2586,                0.73042,                0.68889,                0.72737,                0.56339,                0.78159,                 1.0659,                 1.2549,               0.005941,               0.005941,               0.005941
                     84,                0.95895,                  1.275,                 1.2497,                 0.7571,                0.66381,                0.73237,                0.57025,                0.77954,                 1.0551,                 1.2504,              0.0058915,              0.0058915,              0.0058915
                     85,                0.95267,                 1.2683,                 1.2572,                0.74661,                 0.6733,                0.73191,                0.57014,                0.77796,                  1.053,                 1.2534,               0.005842,               0.005842,               0.005842
                     86,                0.94828,                 1.2628,                  1.254,                0.75323,                0.65816,                0.73337,                0.57326,                0.77619,                 1.0474,                 1.2524,              0.0057925,              0.0057925,              0.0057925
                     87,                0.94124,                 1.2392,                 1.2524,                0.72919,                0.69458,                 0.7428,                0.58021,                 0.7758,                 1.0453,                 1.2526,               0.005743,               0.005743,               0.005743
                     88,                0.93565,                  1.207,                 1.2416,                0.72856,                 0.7159,                0.73676,                0.57633,                0.76959,                 1.0243,                 1.2463,              0.0056935,              0.0056935,              0.0056935
                     89,                0.92404,                 1.2331,                 1.2541,                0.74358,                0.69832,                0.74251,                0.57972,                0.76718,                 1.0273,                 1.2421,               0.005644,               0.005644,               0.005644
                     90,                0.94652,                 1.2326,                 1.2522,                0.72093,                 0.7051,                0.73897,                 0.5774,                0.76358,                 1.0341,                 1.2413,              0.0055945,              0.0055945,              0.0055945
                     91,                 0.9319,                 1.2436,                 1.2504,                 0.7412,                  0.683,                0.73798,                0.57633,                0.76516,                 1.0306,                 1.2456,               0.005545,               0.005545,               0.005545
                     92,                0.92654,                 1.2104,                 1.2442,                0.73427,                0.69599,                0.73666,                0.57809,                0.75781,                 1.0345,                 1.2395,              0.0054955,              0.0054955,              0.0054955
                     93,                0.91922,                 1.1955,                 1.2358,                0.72535,                0.70394,                0.74235,                0.58216,                 0.7562,                 1.0303,                 1.2369,               0.005446,               0.005446,               0.005446
                     94,                0.92844,                 1.2008,                 1.2531,                 0.7563,                0.67415,                 0.7388,                0.57991,                0.75605,                 1.0383,                 1.2362,              0.0053965,              0.0053965,              0.0053965
                     95,                0.92866,                 1.1918,                 1.2479,                0.76398,                0.68534,                0.74304,                0.58201,                0.75751,                 1.0328,                 1.2399,               0.005347,               0.005347,               0.005347
                     96,                0.90584,                 1.2039,                 1.2369,                0.75615,                0.68671,                0.74232,                0.58139,                0.75183,                 1.0315,                 1.2354,              0.0052975,              0.0052975,              0.0052975
                     97,                0.92169,                 1.1821,                 1.2392,                0.76096,                0.68491,                0.74163,                0.57998,                0.75008,                 1.0263,                 1.2331,               0.005248,               0.005248,               0.005248
